dmr_make,dmr_model,age_band,our_estimate_dkk,real_asking_price_dkk,real_mileage_km,source_note
AUDI,A3 Sportback,1,135088,,,
AUDI,Q3,1,540214,,,
AUDI,A1 SPORTBACK,2,244103,,,
MAZDA,MAZDA3,1,236176,,,
MAZDA,Mazda CX-30,1,242425,,,
MAZDA,CX-3,2,167061,,,
SKODA,KODIAQ,1,419308,,,
SKODA,FABIA COMBI,2,65657,,,
TOYOTA,Toyota C-HR,1,208925,,,
FORD,NY Focus,3,65705,,,
