brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
nissan,Nissan X-Trail 1.6 DCi Tekna 2WD,55999.0,110 002 km,manual,1 598 cm3,Benzyna,Ostrołęka,Mazowieckie,2018
nissan,Nissan Juke 1.2 DIG-T Edition,45900.0,138 000 km,manual,1 598 cm3,Diesel,Maków Mazowiecki,Mazowieckie,2015
nissan,Nissan Qashqai,60600.0,138 000 km,manual,1 598 cm3,Diesel,Łajski,Mazowieckie,2015
nissan,Nissan Qashqai 1.6 DIG-T N-Connecta,88000.0,110 000 km,manual,1 197 cm3,Benzyna,Grodzisk Mazowiecki,Mazowieckie,2015
nissan,Nissan Micra 1.5 dCi Acenta,45900.0,110 000 km,manual,1 197 cm3,Benzyna,Gdańsk,Pomorskie,2015
nissan,Nissan Qashqai,59000.0,98 456 km,manual,1 197 cm3,Benzyna,Łajski,Mazowieckie,2016
nissan,Nissan Qashqai,69850.0,98 456 km,manual,1 197 cm3,Benzyna,Modlnica,Małopolskie,2016
nissan,Nissan X-Trail,52500.0,108 000 km,manual,1 197 cm3,Benzyna,Żyrardów,Mazowieckie,2016
nissan,Nissan Juke,69900.0,108 000 km,manual,1 197 cm3,Benzyna,Mysłowice,Śląskie,2016
nissan,Nissan Qashqai,66800.0,105 000 km,manual,1 461 cm3,Diesel,Święta Katarzyna,Świętokrzyskie,2015
nissan,Nissan Qashqai,67900.0,105 000 km,manual,1 461 cm3,Diesel,Zduńska Wola,Łódzkie,2015
nissan,Nissan Qashqai 1.2 DIG-T Acenta,74900.0,125 108 km,manual,1 461 cm3,Diesel,Gdańsk,Pomorskie,2019
nissan,Nissan Qashqai 1.6 DCi TEKNA,61200.0,125 108 km,manual,1 461 cm3,Diesel,Stryków,Łódzkie,2019
nissan,Nissan Juke 1.6 Visia Plus,57800.0,52 241 km,manual,1 197 cm3,Benzyna,Nowa Wieś,Mazowieckie,2018
nissan,Nissan Juke 1.2 DIG-T 360,49999.0,52 241 km,manual,1 197 cm3,Benzyna,Jasień,Małopolskie,2018
nissan,Nissan Qashqai 1.2 DIG-T N-Vision,56454.0,174 000 km,manual,1 598 cm3,Diesel,Marki,Mazowieckie,2016
nissan,Nissan Qashqai 1.2 DIG-T Acenta EU6,54900.0,174 000 km,manual,1 598 cm3,Diesel,Warszawa,Mazowieckie,2016
nissan,Nissan Juke 1.2 DIG-T Acenta EU6,49500.0,40 800 km,manual,1 197 cm3,Benzyna,Mierzyn,Zachodniopomorskie,2016
nissan,Nissan Micra 1.2 Acenta,28900.0,40 800 km,manual,1 197 cm3,Benzyna,Warszawa,Mazowieckie,2016
nissan,Nissan Qashqai,63900.0,93 000 km,manual,1 198 cm3,Benzyna,Syców,Dolnośląskie,2015
nissan,Nissan Micra 0.9 IG-T BOSE Personal Edition,54500.0,93 000 km,manual,1 198 cm3,Benzyna,Poznań,Wielkopolskie,2015
nissan,Nissan Qashqai 1.6 DIG-T Tekna+,84000.0,120 000 km,manual,1 618 cm3,Benzyna,Kędzierzyn-Koźle,Opolskie,2016
nissan,Nissan Qashqai 1.5 dCi Tekna,77800.0,120 000 km,manual,1 618 cm3,Benzyna,Alwernia,Małopolskie,2016
nissan,Nissan X-Trail 1.6 DCi Tekna 2WD,82900.0,10 500 km,manual,898 cm3,Benzyna,Dalborowice,Dolnośląskie,2018
nissan,Nissan Juke 1.5 dCi Tekna S&S,37900.0,10 500 km,manual,898 cm3,Benzyna,Warszawa,Mazowieckie,2018
nissan,Nissan Juke 1.6 Bose Personal Edition,59900.0,80 000 km,manual,1 618 cm3,Benzyna,Dąbrowa Górnicza,Śląskie,2017
nissan,Nissan X-Trail,74900.0,80 000 km,manual,1 618 cm3,Benzyna,Nowe Miasto nad Pilicą,Mazowieckie,2017
nissan,Nissan Qashqai 1.6 DIG-T N-Connecta,69900.0,140 000 km,manual,1 461 cm3,Diesel,Olsztyn,Warmińsko-mazurskie,2019
nissan,Nissan Juke 1.2 DIG-T Acenta,39900.0,140 000 km,manual,1 461 cm3,Diesel,Brańszczyk,Mazowieckie,2019
nissan,Nissan Qashqai 1.3 DIG-T Acenta,54900.0,127 000 km,manual,1 598 cm3,Diesel,Dobrzyniewo Duże,Podlaskie,2017
nissan,Nissan Qashqai,78900.0,127 000 km,manual,1 598 cm3,Diesel,Brodowo,Wielkopolskie,2017
