dmr_make,dmr_model,age_band,band_years,approx_age_years,price_bracket_id,price_bracket_label,entry_price_dkk,entry_price_reference_km,exit_age_band,hold_years,shorter_than_6yr_horizon,horizon_available,resale_price_dkk,mileage_adjustment_factor,depreciation_dkk,depreciation_available,fuel_total_dkk,ejerafgift_total_dkk,repair_total_dkk,tco_total_dkk,tco_per_year,running_cost_per_year,standardized_pass_rate,raw_pass_rate,repair_burden_index,median_annual_fuel_cost_dkk,median_annual_ejerafgift_dkk,engagement_score,reliability_unstable,meets_stability_floor,dk_vehicle_count,n_nt_tests,price_n_listings,price_pooled_at_brand,price_calibration_factor,price_confidence,donor_model,excluded_from_rank,excluded_from_running_cost_rank,exclusion_reason,is_hybrid,is_diesel_dominant,cost_rank_in_group,cost_tier,value_for_money_score,value_for_money_weight_cost,value_for_money_weight_engagement,value_for_money_rank_in_group,value_for_money_tier,running_cost_rank_overall,running_cost_tier
KIA,PICANTO,4,2010-2013,14.5,1,"Up to 50,000 DKK",27296,207833,,,,False,,,,False,,,,,15491,15491,0.4832,0.5503,1.4369,10260.245901639346,920.0,0.3122,False,True,11511,125947,121,False,0.6677,high,,False,False,,False,False,7,S,0.5467,0.5,0.5,32,B,207,B
FORD,C-MAX,2,2017-2019,8.0,2,"50,000-90,000 DKK",75210,139375,4,6.5,False,True,43690,0.8906,31520,True,83024,15860,10111,140515,21618,16768,0.7626,0.7681,0.5185,12772.959183673469,2440.0,0.3988,False,True,2723,133711,367,False,0.6677,high,,False,False,,False,False,75,B,0.3849,0.5,0.5,106,C,269,B
FORD,C-MAX,3,2014-2016,11.0,2,"50,000-90,000 DKK",63183,139375,4,3.5,True,True,52280,1.0657,10903,True,44705,6160,9139,70908,20259,17144,0.6758,0.6738,0.8704,12772.959183673469,1760.0,0.4006,False,True,2623,129588,367,False,0.6677,high,,False,False,,False,False,50,B,0.4784,0.5,0.5,84,B,296,B
FORD,C-MAX,4,2010-2013,14.5,1,"Up to 50,000 DKK",49056,207833,,,,False,,,,False,,,,,21078,21078,0.5692,0.5621,1.4483,12772.959183673469,3960.0,0.4778,False,True,2668,108658,367,False,0.6677,high,,False,False,,False,True,62,C,0.4867,0.5,0.5,44,B,438,C
FIAT,PANDA,1,2020-2022,5.0,3,"90,000-150,000 DKK",106572,105250,3,6.0,False,True,34640,0.8002,71932,True,62070,8400,6980,149382,24897,12908,0.7638,0.8026,0.3878,10345.041322314051,1400.0,0.2553,False,True,315,37902,26,False,0.7098,low,,False,False,,False,False,35,A,0.3697,0.5,0.5,87,C,79,A
FIAT,PANDA,2,2017-2019,8.0,2,"50,000-90,000 DKK",62691,139375,4,6.5,False,True,25611,0.8906,37080,True,72646,9100,11936,130762,20117,14413,0.6763,0.7292,0.6121,11176.339285714288,1400.0,0.4106,False,True,857,77099,26,False,0.6677,low,,False,False,,False,False,45,B,0.5108,0.5,0.5,70,B,145,A
FIAT,PANDA,3,2014-2016,11.0,1,"Up to 50,000 DKK",43288,139375,4,3.5,True,True,30646,1.0657,12642,True,33317,3220,10201,59380,16966,13354,0.5866,0.6423,0.9715,9519.011406844107,920.0,0.1879,False,True,1515,86616,26,False,0.6677,low,,False,False,,False,False,18,A,0.3867,0.5,0.5,60,C,100,A
FIAT,PANDA,4,2010-2013,14.5,1,"Up to 50,000 DKK",28756,207833,,,,False,,,,False,,,,,17428,17428,0.5158,0.5637,1.4119,12272.058823529414,920.0,0.4541,False,True,5016,107113,26,False,0.6677,low,,False,False,,False,False,25,B,0.7,0.5,0.5,10,A,309,B
CITROËN,C3 PICASSO,2,2017-2019,8.0,2,"50,000-90,000 DKK",73428,139375,4,6.5,False,True,35881,0.8906,37547,True,66612,18070,13588,135817,20895,15118,0.6569,0.694,0.6968,10248.046874999998,2780.0,0.3438,False,True,108,10747,101,False,0.6677,high,,False,False,,False,True,60,B,0.3453,0.5,0.5,120,C,187,B
CITROËN,C3 PICASSO,3,2014-2016,11.0,2,"50,000-90,000 DKK",51697,139375,4,3.5,True,True,42935,1.0657,8762,True,36729,9730,10588,65810,18803,16299,0.6117,0.6381,1.0084,10493.999999999998,2780.0,0.3526,True,False,1525,1912,101,False,0.6677,high,,True,True,reliability_unstable,False,True,,,,,,,,,
CITROËN,C3 PICASSO,4,2010-2013,14.5,1,"Up to 50,000 DKK",40287,207833,,,,False,,,,False,,,,,20678,20678,0.4965,0.5055,1.5426,12089.861751152073,3960.0,0.3327,True,False,2660,916,101,False,0.6677,high,,True,True,reliability_unstable,False,True,,,,,,,,,
AUDI,A4 AVANT,1,2020-2022,5.0,5,"Above 250,000 DKK",311018,105250,3,6.0,False,True,106731,0.8002,204287,True,79058,14640,9324,307309,51218,17170,0.8554,0.8403,0.518,13176.315789473685,2440.0,0.7108,False,True,450,184036,72,False,0.7098,medium,,False,False,,False,False,23,B,0.713,0.5,0.5,7,A,298,B
AUDI,A4 AVANT,2,2017-2019,8.0,4,"150,000-250,000 DKK",215992,139375,4,6.5,False,True,67168,0.8906,148824,True,87488,18980,16286,271578,41781,18885,0.8029,0.7729,0.8352,13459.677419354839,2920.0,0.7173,False,True,1233,214851,72,False,0.7098,medium,,False,False,,False,True,70,C,0.5488,0.5,0.5,32,B,361,B
AUDI,A4 AVANT,3,2014-2016,11.0,3,"90,000-150,000 DKK",133375,139375,4,3.5,True,True,80373,1.0657,53002,True,44705,12180,13118,123005,35144,20001,0.7585,0.719,1.2493,12772.959183673469,3480.0,0.5476,False,True,1364,176038,72,False,0.7098,medium,,False,False,,False,True,109,D,0.3025,0.5,0.5,100,C,406,C
AUDI,A4 AVANT,4,2010-2013,14.5,2,"50,000-90,000 DKK",75417,207833,,,,False,,,,False,,,,,23547,23547,0.6849,0.6465,2.1223,12860.29411764706,4320.0,0.464,False,True,1097,238100,72,False,0.6677,medium,,False,False,,False,True,103,C,0.3741,0.5,0.5,110,C,481,D
SEAT,Ateca,1,2020-2022,5.0,5,"Above 250,000 DKK",252891,105250,3,6.0,False,True,131981,0.8002,120910,True,73632,9600,3910,208052,34675,14524,0.8832,0.8807,0.2172,12272.058823529414,1600.0,0.7115,False,True,514,92268,158,False,0.7098,high,,False,False,,False,False,3,S,0.9074,0.5,0.5,1,S,156,A
SEAT,Ateca,2,2017-2019,8.0,4,"150,000-250,000 DKK",185530,139375,4,,False,True,,,,False,,,,,16222,16222,0.859,0.8584,0.2701,12971.502590673575,2440.0,0.7063,False,True,1098,20587,158,False,0.7098,high,,True,False,no_exit_band_data,False,False,,,,,,,,241,B
SEAT,Ateca,3,2014-2016,11.0,4,"150,000-250,000 DKK",164929,139375,4,,True,True,,,,False,,,,,15292,15292,,,,13532.432432432433,1760.0,0.7009,True,False,163,0,158,False,0.7098,high,,True,True,no_exit_band_data,False,False,,,,,,,,,
VOLVO,V70,2,2017-2019,8.0,2,"50,000-90,000 DKK",82853,139375,4,6.5,False,True,47303,0.8906,35550,True,73188,18980,12147,139865,21518,16048,0.814,0.7892,0.6229,11259.656652360512,2920.0,0.2573,False,True,1,16609,390,False,0.6677,high,,True,True,insufficient_dk_fleet,False,True,,,,,,,,,
VOLVO,V70,3,2014-2016,11.0,2,"50,000-90,000 DKK",73750,139375,4,3.5,True,True,56602,1.0657,17148,True,41361,13860,9937,82306,23516,18617,0.7676,0.722,0.9464,11817.567567567568,3960.0,0.6081,False,True,691,24510,390,False,0.6677,high,,False,False,,False,True,102,C,0.5468,0.5,0.5,58,B,354,B
VOLVO,V70,4,2010-2013,14.5,2,"50,000-90,000 DKK",53112,207833,,,,False,,,,False,,,,,26270,26270,0.6929,0.6437,1.5067,15709.580838323353,6040.0,0.6584,False,True,1064,49882,390,False,0.6677,high,,False,False,,False,True,133,D,0.464,0.5,0.5,89,B,513,D
FORD,KUGA,1,2020-2022,5.0,4,"150,000-250,000 DKK",202166,105250,3,6.0,False,True,68902,0.8002,133264,True,34216,5520,5418,178418,29736,7526,0.8489,0.8484,0.301,5702.733485193622,920.0,0.4148,False,True,13510,399644,613,False,0.7098,high,,False,False,,True,False,14,A,0.5061,0.5,0.5,41,B,6,S
FORD,KUGA,2,2017-2019,8.0,3,"90,000-150,000 DKK",136484,139375,4,6.5,False,True,43167,0.8906,93317,True,96343,32500,9255,231415,35602,21246,0.7935,0.7861,0.4746,14822.033898305084,5000.0,0.5402,False,True,1276,321303,613,False,0.7098,high,,False,False,,False,True,112,D,0.2815,0.5,0.5,105,C,446,C
FORD,KUGA,3,2014-2016,11.0,2,"50,000-90,000 DKK",86103,139375,4,3.5,True,True,51653,1.0657,34450,True,54424,12180,9264,110318,31519,21677,0.6931,0.6713,0.8823,15549.68944099379,3480.0,0.559,False,True,1824,145744,613,False,0.6677,high,,False,False,,False,False,140,D,0.3777,0.5,0.5,109,C,453,C
FORD,KUGA,4,2010-2013,14.5,1,"Up to 50,000 DKK",48468,207833,,,,False,,,,False,,,,,26525,26525,0.6227,0.5951,1.3072,15523.668639053254,7080.0,0.5273,False,True,157,74113,613,False,0.6677,high,,False,False,,False,True,76,D,0.46,0.5,0.5,50,B,515,D
FIAT,500,1,2020-2022,5.0,4,"150,000-250,000 DKK",166712,105250,3,6.0,False,True,53456,0.8002,113256,True,58447,8400,7277,187381,31230,12354,0.7543,0.797,0.4043,9741.245136186772,1400.0,0.2478,False,True,1076,268420,136,False,0.7098,high,,False,False,,False,False,20,A,0.3963,0.5,0.5,59,B,61,A
FIAT,500,2,2017-2019,8.0,3,"90,000-150,000 DKK",96720,139375,4,6.5,False,True,43036,0.8906,53684,True,61874,9100,14009,138667,21333,13074,0.64,0.6837,0.7184,9519.011406844107,1400.0,0.2867,False,True,1996,400753,136,False,0.6677,high,,False,False,,False,False,8,S,0.5252,0.5,0.5,56,B,92,A
FIAT,500,3,2014-2016,11.0,2,"50,000-90,000 DKK",66801,139375,4,3.5,True,True,51497,1.0657,15304,True,33317,3220,10329,62170,17763,13390,0.5861,0.6198,0.9837,9519.011406844107,920.0,0.3445,False,True,2650,338208,136,False,0.6677,high,,False,False,,False,False,10,S,0.5324,0.5,0.5,64,B,101,A
