dmr_make,dmr_model,age_band,chapter,chapter_name,n_defects_2_3er,n_tests,defect_rate_per_test
BMW,X1,4,0,Identifikasjon av kjoretoyet (vehicle identification),21,4390,0.0048
FIAT,500,3,0,Identifikasjon av kjoretoyet (vehicle identification),28,2045,0.0137
TOYOTA,VERSO,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,178,0.0
TOYOTA,Toyota C-HR,2,0,Identifikasjon av kjoretoyet (vehicle identification),3,4126,0.0007
NISSAN,JUKE,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,107,0.0
PEUGEOT,107,4,0,Identifikasjon av kjoretoyet (vehicle identification),18,1880,0.0096
NISSAN,NOTE,3,0,Identifikasjon av kjoretoyet (vehicle identification),8,946,0.0085
SKODA,RAPID,1,0,Identifikasjon av kjoretoyet (vehicle identification),1,482,0.0021
RENAULT,MEGANE,1,0,Identifikasjon av kjoretoyet (vehicle identification),1,294,0.0034
SUZUKI,SX4 S-Cross,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,80,0.0
SKODA,KAMIQ,1,0,Identifikasjon av kjoretoyet (vehicle identification),1,327,0.0031
CITROËN,C1,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,58,0.0
SKODA,CITIGO,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,202,0.0
OPEL,ASTRA SPORTS TOURER,4,0,Identifikasjon av kjoretoyet (vehicle identification),8,979,0.0082
CITROËN,C3 PICASSO,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,11,0.0
SEAT,Ibiza GP2,4,0,Identifikasjon av kjoretoyet (vehicle identification),0,7,0.0
VOLKSWAGEN,T-Roc,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,288,0.0
RENAULT,Kadjar,3,0,Identifikasjon av kjoretoyet (vehicle identification),0,102,0.0
VOLVO,V40,3,0,Identifikasjon av kjoretoyet (vehicle identification),42,13394,0.0031
VOLVO,XC60,3,0,Identifikasjon av kjoretoyet (vehicle identification),37,13968,0.0026
MAZDA,CX-5,3,0,Identifikasjon av kjoretoyet (vehicle identification),62,14518,0.0043
SKODA,KAROQ,1,0,Identifikasjon av kjoretoyet (vehicle identification),4,2413,0.0017
SUZUKI,SWIFT,3,0,Identifikasjon av kjoretoyet (vehicle identification),13,4814,0.0027
PEUGEOT,207,4,0,Identifikasjon av kjoretoyet (vehicle identification),90,5486,0.0164
MITSUBISHI,OUTLANDER,4,0,Identifikasjon av kjoretoyet (vehicle identification),76,10148,0.0075
BMW,5-Serie,4,0,Identifikasjon av kjoretoyet (vehicle identification),71,10877,0.0065
BMW,X3,4,0,Identifikasjon av kjoretoyet (vehicle identification),36,5417,0.0066
MERCEDES-BENZ,B-Klasse,4,0,Identifikasjon av kjoretoyet (vehicle identification),20,4180,0.0048
MERCEDES-BENZ,C,4,0,Identifikasjon av kjoretoyet (vehicle identification),40,7755,0.0052
NISSAN,X-TRAIL,3,0,Identifikasjon av kjoretoyet (vehicle identification),26,2381,0.0109
VOLKSWAGEN,TIGUAN,4,0,Identifikasjon av kjoretoyet (vehicle identification),85,11058,0.0077
RENAULT,Captur,2,0,Identifikasjon av kjoretoyet (vehicle identification),15,1187,0.0126
SUZUKI,SX4,1,0,Identifikasjon av kjoretoyet (vehicle identification),2,2054,0.001
BMW,X1,2,0,Identifikasjon av kjoretoyet (vehicle identification),7,3404,0.0021
MERCEDES-BENZ,CLA,1,0,Identifikasjon av kjoretoyet (vehicle identification),1,1365,0.0007
AUDI,A5 SPORTBACK,3,0,Identifikasjon av kjoretoyet (vehicle identification),6,880,0.0068
SUZUKI,SX4 COMBIBACK,4,0,Identifikasjon av kjoretoyet (vehicle identification),12,4809,0.0025
TOYOTA,YARIS,3,0,Identifikasjon av kjoretoyet (vehicle identification),67,21128,0.0032
MERCEDES-BENZ,E-Klasse,3,0,Identifikasjon av kjoretoyet (vehicle identification),45,8181,0.0055
FORD,FIESTA,2,0,Identifikasjon av kjoretoyet (vehicle identification),16,4402,0.0036
FORD,MONDEO,2,0,Identifikasjon av kjoretoyet (vehicle identification),17,5589,0.003
VOLKSWAGEN,PASSAT,2,0,Identifikasjon av kjoretoyet (vehicle identification),23,14320,0.0016
CITROËN,C4,2,0,Identifikasjon av kjoretoyet (vehicle identification),9,3636,0.0025
RENAULT,Ny Clio,3,0,Identifikasjon av kjoretoyet (vehicle identification),27,1622,0.0166
HYUNDAI,I 10,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,161,0.0
FORD,Focus,2,0,Identifikasjon av kjoretoyet (vehicle identification),14,5076,0.0028
HYUNDAI,I30,4,0,Identifikasjon av kjoretoyet (vehicle identification),35,3800,0.0092
FORD,FOCUS,3,0,Identifikasjon av kjoretoyet (vehicle identification),76,15257,0.005
TOYOTA,VERSO,4,0,Identifikasjon av kjoretoyet (vehicle identification),19,2396,0.0079
VOLKSWAGEN,CADDY,2,0,Identifikasjon av kjoretoyet (vehicle identification),10,818,0.0122
CHEVROLET,SPARK,3,0,Identifikasjon av kjoretoyet (vehicle identification),6,308,0.0195
OPEL,ZAFIRA,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,47,0.0
FIAT,Punto S7,4,0,Identifikasjon av kjoretoyet (vehicle identification),0,347,0.0
HONDA,CIVIC,3,0,Identifikasjon av kjoretoyet (vehicle identification),8,2369,0.0034
OPEL,CORSA,1,0,Identifikasjon av kjoretoyet (vehicle identification),1,389,0.0026
OPEL,ASTRA SPORTS TOURER,2,0,Identifikasjon av kjoretoyet (vehicle identification),2,374,0.0053
HYUNDAI,i30 Stc.,3,0,Identifikasjon av kjoretoyet (vehicle identification),2,164,0.0122
SEAT,LEON,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,71,0.0
PEUGEOT,107,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,7,0.0
AUDI,A3 CABRIOLET,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,7,0.0
CITROËN,C3 Aircross,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,91,0.0
MERCEDES-BENZ,GLC,3,0,Identifikasjon av kjoretoyet (vehicle identification),1,311,0.0032
DACIA,Duster,4,0,Identifikasjon av kjoretoyet (vehicle identification),0,8,0.0
SEAT,Ibiza GP2,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,1,0.0
PEUGEOT,508,3,0,Identifikasjon av kjoretoyet (vehicle identification),31,4721,0.0066
TOYOTA,RAV4 Plug in,2,0,Identifikasjon av kjoretoyet (vehicle identification),38,15118,0.0025
KIA,Optima,2,0,Identifikasjon av kjoretoyet (vehicle identification),1,926,0.0011
MITSUBISHI,COLT,3,0,Identifikasjon av kjoretoyet (vehicle identification),5,1264,0.004
VOLKSWAGEN,GOLF,2,0,Identifikasjon av kjoretoyet (vehicle identification),44,24534,0.0018
VOLVO,XC90,1,0,Identifikasjon av kjoretoyet (vehicle identification),10,8675,0.0012
MITSUBISHI,ASX,3,0,Identifikasjon av kjoretoyet (vehicle identification),30,9126,0.0033
VOLKSWAGEN,POLO,1,0,Identifikasjon av kjoretoyet (vehicle identification),7,5836,0.0012
FORD,S-MAX,2,0,Identifikasjon av kjoretoyet (vehicle identification),7,3631,0.0019
FORD,FIESTA 5 DØRS,1,0,Identifikasjon av kjoretoyet (vehicle identification),4,3219,0.0012
VOLKSWAGEN,PASSAT VARIANT,2,0,Identifikasjon av kjoretoyet (vehicle identification),23,14320,0.0016
MERCEDES-BENZ,A-Klasse,4,0,Identifikasjon av kjoretoyet (vehicle identification),8,2238,0.0036
VOLKSWAGEN,UP!,1,0,Identifikasjon av kjoretoyet (vehicle identification),1,680,0.0015
FORD,KUGA,2,0,Identifikasjon av kjoretoyet (vehicle identification),8,4067,0.002
CITROËN,C4 PICASSO,4,0,Identifikasjon av kjoretoyet (vehicle identification),13,1058,0.0123
