dmr_make,dmr_model,age_band,n_tests_all,raw_rate_all,standardized_rate_all,unstable_all,n_tests_mechanical,raw_rate_mechanical,standardized_rate_mechanical,unstable_mechanical,n_tests_consumable,raw_rate_consumable,standardized_rate_consumable,unstable_consumable
CITROËN,C4,2,3636,0.4494,0.4508,False,3636,0.6507,0.6536,False,3636,0.7558,0.754,False
CITROËN,C4,3,5303,0.3832,0.384,False,5303,0.5725,0.5707,False,5303,0.6956,0.6929,False
CITROËN,C4,4,2439,0.2628,0.2561,False,2439,0.4531,0.44,False,2439,0.4781,0.467,False
CITROËN,C4 Cactus,1,1085,0.6028,0.5877,False,1085,0.7401,0.7276,False,1085,0.8415,0.8365,False
CITROËN,C4 Cactus,2,1625,0.4258,0.4084,False,1625,0.6302,0.6124,False,1625,0.7526,0.7325,False
CITROËN,C4 Cactus,3,775,0.369,0.3213,False,775,0.569,0.5191,False,775,0.7252,0.6915,False
CITROËN,C4 PICASSO,1,823,0.6087,0.6286,False,823,0.7983,0.8006,False,823,0.8068,0.8354,False
CITROËN,C4 PICASSO,2,1511,0.4467,0.4666,False,1511,0.6519,0.6675,False,1511,0.7379,0.7521,False
CITROËN,C4 PICASSO,3,1484,0.3396,0.3534,False,1484,0.5445,0.5569,False,1484,0.6179,0.6271,False
CITROËN,C4 PICASSO,4,1058,0.2297,0.2436,False,1058,0.4083,0.4202,False,1058,0.3922,0.4026,False
CITROËN,C5 Aircross,1,1527,0.7747,0.7618,False,1527,0.8749,0.8699,False,1527,0.9149,0.9081,False
CITROËN,DS3,2,90,0.2778,,True,90,0.5,,True,90,0.6889,,True
CITROËN,DS3,3,1430,0.2979,0.2836,False,1430,0.4392,0.4274,False,1430,0.5769,0.5525,False
CITROËN,DS3,4,696,0.2931,0.2573,False,696,0.4454,0.4065,False,696,0.5747,0.4937,False
DACIA,Duster,1,767,0.5867,0.587,False,767,0.6858,0.6855,False,767,0.7914,0.7933,False
DACIA,Duster,2,542,0.3376,0.3487,False,542,0.5111,0.5196,False,542,0.6236,0.6298,False
DACIA,Duster,3,489,0.2802,0.2791,False,489,0.4458,0.444,False,489,0.5951,0.589,False
DACIA,Duster,4,8,0.125,,True,8,0.375,,True,8,0.25,,True
FIAT,500,1,212,0.6415,,True,212,0.7783,,True,212,0.9009,,True
FIAT,500,2,384,0.4505,0.4264,False,384,0.6406,0.6046,False,384,0.8229,0.8004,False
FIAT,500,3,2045,0.3335,0.2839,False,2045,0.4885,0.4209,False,2045,0.6694,0.6337,False
FIAT,500,4,2705,0.2621,0.1803,False,2705,0.4037,0.3017,False,2705,0.5763,0.4766,False
FIAT,PANDA,1,20,0.4,,True,20,0.5,,True,20,0.8,,True
FIAT,PANDA,2,94,0.3617,,True,94,0.5532,,True,94,0.8723,,True
FIAT,PANDA,3,332,0.4006,0.3371,False,332,0.5482,0.4794,False,332,0.7982,0.7587,False
FIAT,PANDA,4,101,0.198,0.1339,False,101,0.3267,0.255,False,101,0.6139,0.5512,False
FIAT,Punto S7,3,91,0.2418,,True,91,0.4396,,True,91,0.6044,,True
FIAT,Punto S7,4,347,0.2824,0.2215,False,347,0.4409,0.363,False,347,0.5994,0.5281,False
FORD,B-MAX,1,5,0.4,,True,5,0.4,,True,5,0.8,,True
FORD,B-MAX,2,250,0.616,0.5423,False,250,0.768,0.7313,False,250,0.792,0.7155,False
FORD,B-MAX,3,1129,0.4216,0.3292,False,1129,0.6413,0.5897,False,1129,0.7298,0.6563,False
FORD,B-MAX,4,19,0.4737,,True,19,0.5789,,True,19,0.5789,,True
FORD,C-MAX,1,235,0.7362,0.7371,False,235,0.8213,0.8259,False,235,0.9149,0.9153,False
FORD,C-MAX,2,749,0.6796,0.6635,False,749,0.7637,0.7549,False,749,0.8945,0.8823,False
FORD,C-MAX,3,1829,0.5391,0.5246,False,1829,0.708,0.6977,False,1829,0.7201,0.7043,False
FORD,C-MAX,4,1034,0.3743,0.3615,False,1034,0.5619,0.5455,False,1034,0.617,0.6067,False
FORD,FIESTA,1,3219,0.8189,0.7834,False,3219,0.8764,0.8539,False,3219,0.9506,0.9348,False
FORD,FIESTA,2,4402,0.545,0.487,False,4402,0.6804,0.6289,False,4402,0.8498,0.8052,False
FORD,FIESTA,3,8583,0.3905,0.3349,False,8583,0.5654,0.5147,False,8583,0.7266,0.6643,False
FORD,FIESTA,4,7906,0.2874,0.2516,False,7906,0.4646,0.42,False,7906,0.6092,0.5599,False
FORD,FIESTA 5 DØRS,1,3219,0.8189,0.7834,False,3219,0.8764,0.8539,False,3219,0.9506,0.9348,False
FORD,FIESTA 5 DØRS,2,4402,0.545,0.487,False,4402,0.6804,0.6289,False,4402,0.8498,0.8052,False
FORD,FIESTA 5 DØRS,3,8583,0.3905,0.3349,False,8583,0.5654,0.5147,False,8583,0.7266,0.6643,False
FORD,FIESTA 5 DØRS,4,7906,0.2874,0.2516,False,7906,0.4646,0.42,False,7906,0.6092,0.5599,False
