age_band,band_years,typical_mileage_km,n_source_models
1,2020-2022 reg. (~5 yrs old),105250,2
2,2017-2019 reg. (~8 yrs old),143000,7
3,2014-2016 reg. (~11 yrs old),135750,2
4,2010-2013 reg. (~14.5 yrs old),207833,3
