dmr_make,dmr_model,age_band,reliability_source_count,reliability_agreement,combined_reliability_z,combined_reliability_variance,reliability_effective_n,uk_z,no_z,reliability_confidence
BMW,X1,2,2,0.3687,0.8652,0.000444,106606,0.8767,0.508,high
BMW,X1,3,2,1.074,0.9559,0.000566,75864,1.046,-0.0281,low
BMW,X1,4,2,1.3071,1.5255,0.001762,27754,1.7716,0.4646,low
BMW,X3,1,2,0.0621,0.916,0.000842,114694,0.9184,0.8563,high
BMW,X3,2,2,0.4225,0.5633,0.000493,89576,0.577,0.1546,high
BMW,X3,3,2,0.5845,1.0686,0.000597,72603,1.1532,0.5687,medium
BMW,X3,4,2,0.1155,1.6747,0.001151,41965,1.6934,1.5779,high
BMW,X5,1,2,1.1943,0.8435,0.001103,84631,0.9903,-0.204,low
BMW,X5,2,2,1.9991,1.7158,0.000818,72793,1.8475,-0.1516,low
BMW,X5,3,2,0.8841,2.0169,0.00099,52188,2.076,1.1919,medium
BMW,X5,4,2,0.1115,1.9151,0.000792,63948,1.9241,1.8126,high
CHEVROLET,AVEO,3,1,,-2.0182,0.002177,15383,-2.0182,,medium
CHEVROLET,AVEO,4,1,,-2.0887,0.002315,18379,-2.0887,,medium
CHEVROLET,SPARK,3,1,,-1.6592,0.000921,36446,-1.6592,,medium
CHEVROLET,SPARK,4,1,,-1.1527,0.003038,13707,-1.1527,,medium
CITROËN,BERLINGO,1,1,,-2.5058,0.000319,164898,-2.5058,,medium
CITROËN,BERLINGO,2,1,,-1.8352,0.000176,170874,-1.8352,,medium
CITROËN,BERLINGO,3,1,,-1.2827,0.000267,127260,-1.2827,,medium
CITROËN,BERLINGO,4,1,,-0.7301,0.000366,114153,-0.7301,,medium
CITROËN,C1,1,1,,-0.7866,0.000685,100540,-0.7866,,medium
CITROËN,C1,2,1,,-0.5656,0.000197,178862,-0.5656,,medium
CITROËN,C1,3,1,,-0.4012,0.000216,166558,-0.4012,,medium
CITROËN,C1,4,1,,-0.6276,0.000253,165674,-0.6276,,medium
CITROËN,C3,1,1,,-1.0397,0.000293,224597,-1.0397,,medium
CITROËN,C3,2,1,,-1.4687,0.000185,167733,-1.4687,,medium
CITROËN,C3,3,1,,-1.4021,0.000183,184209,-1.4021,,medium
CITROËN,C3,4,1,,-1.1707,0.000269,154590,-1.1707,,medium
CITROËN,C3 Aircross,1,1,,-0.5276,0.0012,60304,-0.5276,,medium
CITROËN,C3 Aircross,2,1,,-0.6078,0.008472,4133,-0.6078,,medium
CITROËN,C3 PICASSO,2,1,,-1.3594,0.002931,10747,-1.3594,,medium
CITROËN,C4,1,2,0.985,-1.7413,0.000345,168537,-1.7161,-2.7011,medium
CITROËN,C4,2,2,1.4593,-1.3975,0.00012,263164,-1.3818,-2.8411,low
CITROËN,C4,3,2,0.2861,-1.1354,0.000248,138640,-1.1262,-1.4123,high
CITROËN,C4,4,1,,-1.1552,0.000399,104425,-1.1552,,medium
CITROËN,C4 Cactus,1,1,,-2.0076,0.001158,48629,-2.0076,,medium
CITROËN,C4 Cactus,2,1,,-1.557,0.001565,19685,-1.557,,medium
CITROËN,C4 PICASSO,2,1,,-0.7866,0.003295,10330,-0.7866,,medium
CITROËN,DS3,3,1,,-1.8076,0.000223,150218,-1.8076,,medium
CITROËN,DS3,4,1,,-1.1268,0.001528,27264,-1.1268,,medium
CITROËN,GRAND C4 PICASSO,3,1,,-1.5419,0.003877,8680,-1.5419,,medium
CITROËN,GRAND C4 PICASSO,4,1,,-1.2985,0.004487,9288,-1.2985,,medium
DACIA,Duster,1,1,,-1.88,0.000552,104001,-1.88,,medium
DACIA,Duster,2,1,,-1.3013,0.000445,71206,-1.3013,,medium
DACIA,Duster,3,1,,-1.0172,0.001362,25225,-1.0172,,medium
DACIA,Logan MCV,1,1,,-1.5863,0.002496,24061,-1.5863,,medium
DACIA,Logan MCV,2,1,,-0.9556,0.001279,25958,-0.9556,,medium
DACIA,Logan MCV,3,1,,-0.431,0.007411,4838,-0.431,,medium
DACIA,SANDERO,1,1,,-2.2411,0.000365,149401,-2.2411,,medium
DACIA,SANDERO,2,1,,-2.0307,0.000199,148252,-2.0307,,medium
DACIA,SANDERO,3,1,,-1.4207,0.000836,40403,-1.4207,,medium
DS,DS 3,2,1,,-1.8802,0.0005,59764,-1.8802,,medium
FIAT,500,1,1,,-1.7339,0.000219,268420,-1.7339,,medium
FIAT,500,2,1,,-1.557,7.7e-05,400753,-1.557,,medium
FIAT,500,3,1,,-0.9482,0.000102,338208,-0.9482,,medium
FIAT,500,4,2,1.842,-0.6544,0.000212,198167,-0.638,-2.4799,low
FIAT,500C,1,1,,-1.8433,0.005431,10627,-1.8433,,medium
FIAT,500C,2,1,,-1.5361,0.001196,25819,-1.5361,,medium
FIAT,500C,3,1,,-0.9565,0.00155,22249,-0.9565,,medium
FIAT,500C,4,1,,-0.721,0.004625,9042,-0.721,,medium
FIAT,PANDA,1,1,,-1.5626,0.001591,37902,-1.5626,,medium
FIAT,PANDA,2,1,,-1.1268,0.000421,77099,-1.1268,,medium
FIAT,PANDA,3,1,,-0.9422,0.000398,86616,-0.9422,,medium
FIAT,PANDA,4,1,,-0.9371,0.000389,107113,-0.9371,,medium
FIAT,Punto S7,2,1,,-2.0462,0.000875,33713,-2.0462,,medium
