dmr_make,dmr_model,age_band,reliability_source_count,reliability_agreement,combined_reliability_z,combined_reliability_variance,reliability_effective_n,uk_z,no_z,reliability_confidence
NISSAN,JUKE,1,1,,-0.7446,0.000218,318538,-0.7446,,medium
NISSAN,JUKE,2,1,,-1.1946,7.6e-05,425229,-1.1946,,medium
NISSAN,JUKE,3,1,,-1.171,0.000117,290892,-1.171,,medium
NISSAN,JUKE,4,1,,-0.6963,0.000846,49473,-0.6963,,medium
NISSAN,MICRA,1,1,,-1.773,0.000495,117855,-1.773,,medium
NISSAN,MICRA,2,1,,-1.2727,0.000219,145460,-1.2727,,medium
NISSAN,MICRA,3,1,,-1.0291,0.000223,154077,-1.0291,,medium
NISSAN,MICRA,4,1,,-0.7339,0.000175,238274,-0.7339,,medium
NISSAN,NOTE,2,1,,-0.2767,0.000233,159119,-0.2767,,medium
NISSAN,NOTE,3,1,,-0.79,0.000211,165260,-0.79,,medium
NISSAN,NOTE,4,1,,-0.7832,0.000199,209537,-0.7832,,medium
NISSAN,QASHQAI,1,2,0.0308,-0.0564,0.000135,584844,-0.0568,-0.026,high
NISSAN,QASHQAI,2,2,0.2631,-0.3967,5.8e-05,623579,-0.3992,-0.1361,high
NISSAN,QASHQAI,3,2,0.1604,-1.0615,7.1e-05,482677,-1.0647,-0.9042,high
NISSAN,QASHQAI,4,2,0.2236,-1.3523,0.00014,298878,-1.358,-1.1344,high
NISSAN,Qashqai J11A,1,1,,-0.026,0.010629,4798,,-0.026,medium
NISSAN,Qashqai J11A,2,1,,-0.1361,0.005967,7503,,-0.1361,medium
NISSAN,Qashqai J11A,3,1,,-0.9042,0.003625,10874,,-0.9042,medium
NISSAN,Qashqai J11A,4,1,,-1.1344,0.005558,9029,,-1.1344,medium
NISSAN,X-TRAIL,1,1,,-0.2758,0.000646,117625,-0.2758,,medium
NISSAN,X-TRAIL,2,2,0.7131,-0.3397,0.000349,105538,-0.3239,-1.037,medium
NISSAN,X-TRAIL,3,1,,-0.3239,0.001398,25905,-0.3239,,medium
NISSAN,X-TRAIL,4,2,0.3247,-0.2599,0.000834,50884,-0.2829,0.0418,high
OPEL,ASTRA,1,1,,-0.2919,0.000196,386690,-0.2919,,medium
OPEL,ASTRA,2,1,,-0.4978,5.8e-05,614076,-0.4978,,medium
OPEL,ASTRA,3,2,0.3949,-0.1104,5.9e-05,631722,-0.1127,0.2822,high
OPEL,ASTRA,4,2,0.1931,-0.2826,6.5e-05,657104,-0.2842,-0.0911,high
OPEL,ASTRA SPORTS TOURER,1,1,,-0.2919,0.000196,386690,-0.2919,,medium
OPEL,ASTRA SPORTS TOURER,2,1,,-0.4978,5.8e-05,614076,-0.4978,,medium
OPEL,ASTRA SPORTS TOURER,3,1,,-0.1127,5.9e-05,628012,-0.1127,,medium
OPEL,ASTRA SPORTS TOURER,4,1,,-0.2842,6.5e-05,651650,-0.2842,,medium
OPEL,CORSA,1,1,,-1.3279,9.5e-05,657542,-1.3279,,medium
OPEL,CORSA,2,1,,-1.5222,3.5e-05,893807,-1.5222,,medium
OPEL,CORSA,3,1,,-1.1084,4.1e-05,826662,-1.1084,,medium
OPEL,CORSA,4,2,0.6404,-0.8357,5.7e-05,731973,-0.8336,-1.4741,medium
OPEL,Crossland X,1,1,,0.2232,0.003926,21436,0.2232,,medium
OPEL,Grandland X,1,1,,0.3394,0.002519,34239,0.3394,,medium
OPEL,INSIGNIA,1,1,,-0.853,0.000445,153091,-0.853,,medium
OPEL,INSIGNIA,2,1,,-0.4656,0.000127,281811,-0.4656,,medium
OPEL,INSIGNIA,3,2,0.5241,0.2356,0.000145,265919,0.2288,0.7529,medium
OPEL,INSIGNIA,4,2,0.5436,0.6251,0.000429,103630,0.5984,1.142,medium
OPEL,KARL,2,1,,-0.5564,0.000552,63920,-0.5564,,medium
OPEL,MERIVA,2,1,,-0.8578,0.000402,83721,-0.8578,,medium
OPEL,MERIVA,3,1,,-0.4322,0.000296,121162,-0.4322,,medium
OPEL,MERIVA,4,1,,-0.9564,0.000378,110346,-0.9564,,medium
OPEL,Mokka,1,1,,-1.4557,0.000183,335043,-1.4557,,medium
OPEL,Mokka,2,2,0.8427,-1.2235,8.2e-05,392616,-1.2283,-0.3856,medium
OPEL,Mokka,3,2,0.1938,-0.4781,0.000369,97060,-0.4866,-0.2927,high
OPEL,ZAFIRA,2,1,,-0.6367,0.000155,224255,-0.6367,,medium
OPEL,ZAFIRA,3,1,,-0.4061,0.000153,234442,-0.4061,,medium
OPEL,ZAFIRA,4,1,,-0.5509,0.000192,218805,-0.5509,,medium
PEUGEOT,107,3,1,,-0.3875,0.000214,168415,-0.3875,,medium
PEUGEOT,107,4,1,,-0.6756,0.000217,193007,-0.6756,,medium
PEUGEOT,108,1,1,,-0.51,0.000651,111550,-0.51,,medium
PEUGEOT,108,2,1,,-0.2405,0.000273,136612,-0.2405,,medium
PEUGEOT,108,3,1,,0.2182,0.00231,16631,0.2182,,medium
PEUGEOT,2008,1,2,0.4271,-1.3383,0.000335,185264,-1.3279,-1.755,high
PEUGEOT,2008,2,2,0.6648,-1.2811,0.000184,173372,-1.2715,-1.9363,medium
PEUGEOT,2008,3,2,0.6999,-0.9087,0.000892,39276,-0.8681,-1.5679,medium
PEUGEOT,206 +,4,1,,-1.123,0.001106,37670,-1.123,,medium
PEUGEOT,207,3,1,,-1.6847,0.000189,177957,-1.6847,,medium
PEUGEOT,207,4,2,0.2751,-1.432,0.000119,353068,-1.4355,-1.1605,high
PEUGEOT,208,1,1,,-1.437,0.000297,207166,-1.437,,medium
PEUGEOT,208,2,1,,-1.1402,0.000104,311720,-1.1402,,medium
PEUGEOT,208,3,2,0.445,-0.9102,0.000194,179377,-0.8992,-1.3442,high
PEUGEOT,208,4,1,,-0.4361,0.012195,3456,-0.4361,,medium
PEUGEOT,3008,1,2,0.5133,-0.4743,0.00039,183053,-0.4391,-0.9524,medium
PEUGEOT,3008,2,2,0.0047,-1.1425,0.000279,116677,-1.1426,-1.1378,high
PEUGEOT,3008,3,2,0.0619,-1.2024,0.000287,119202,-1.204,-1.1421,high
PEUGEOT,3008,4,2,0.2745,-1.0056,0.000981,43040,-1.0326,-0.7581,high
PEUGEOT,308,1,1,,-0.6275,0.000692,102601,-0.6275,,medium
PEUGEOT,308,2,2,1.1831,-0.7665,0.000225,153092,-0.7366,-1.9197,low
PEUGEOT,308,3,2,0.1496,-0.8166,0.000249,140168,-0.8213,-0.6716,high
PEUGEOT,308,4,2,0.1494,-0.9258,0.000328,127725,-0.9306,-0.7812,high
PEUGEOT,5008,1,2,0.7623,-1.2375,0.001297,46483,-1.1072,-1.8695,medium
PEUGEOT,5008,2,1,,-1.906,0.001349,22110,-1.906,,medium
PEUGEOT,5008,3,1,,-1.4872,0.001414,23824,-1.4872,,medium
PEUGEOT,5008,4,1,,-1.0946,0.005299,7859,-1.0946,,medium
PEUGEOT,508,1,1,,-0.4613,0.005743,12758,-0.4613,,medium
PEUGEOT,508,2,1,,-0.0798,0.002263,16992,-0.0798,,medium
PEUGEOT,508,3,2,1.1113,0.287,0.001182,33426,0.4459,-0.6654,low
PEUGEOT,508,4,1,,1.1368,0.009844,4780,1.1368,,medium
RENAULT,Captur,1,1,,-0.6683,0.000307,229666,-0.6683,,medium
RENAULT,Captur,2,1,,-0.8451,0.000155,217199,-0.8451,,medium
RENAULT,Captur,3,1,,-0.7659,0.000746,46791,-0.7659,,medium
RENAULT,GRAND SCENIC,1,1,,-2.0484,0.005388,10394,-2.0484,,medium
RENAULT,GRAND SCENIC,2,1,,-1.5939,0.002309,13293,-1.5939,,medium
RENAULT,GRAND SCENIC,3,1,,-1.593,0.001167,28791,-1.593,,medium
RENAULT,GRAND SCENIC,4,1,,-1.265,0.001369,30437,-1.265,,medium
RENAULT,Kadjar,1,1,,-0.9816,0.000474,140221,-0.9816,,medium
RENAULT,Kadjar,2,1,,-0.6471,0.000435,80055,-0.6471,,medium
RENAULT,MEGANE,1,1,,-1.4165,0.001583,39000,-1.4165,,medium
RENAULT,MEGANE,2,1,,-1.7357,0.000396,76421,-1.7357,,medium
RENAULT,MEGANE,3,1,,-1.6128,0.000264,127161,-1.6128,,medium
RENAULT,MEGANE,4,1,,-1.2805,0.000295,141135,-1.2805,,medium
RENAULT,MEGANE SPORT TOURER,1,1,,-1.4165,0.001583,39000,-1.4165,,medium
RENAULT,MEGANE SPORT TOURER,2,1,,-1.7357,0.000396,76421,-1.7357,,medium
RENAULT,MEGANE SPORT TOURER,3,1,,-1.6128,0.000264,127161,-1.6128,,medium
RENAULT,MEGANE SPORT TOURER,4,1,,-1.2805,0.000295,141135,-1.2805,,medium
RENAULT,Ny Clio,1,1,,-2.3053,0.000252,214411,-2.3053,,medium
RENAULT,Ny Clio,2,1,,-2.254,0.000108,270614,-2.254,,medium
RENAULT,Ny Clio,3,1,,-2.0483,0.00014,239733,-2.0483,,medium
RENAULT,Ny Clio,4,1,,-1.7247,0.000136,307835,-1.7247,,medium
RENAULT,SCENIC,1,1,,-1.2244,0.007207,8846,-1.2244,,medium
RENAULT,SCENIC,2,1,,-1.5419,0.001084,28470,-1.5419,,medium
RENAULT,SCENIC,3,1,,-1.2698,0.000752,45126,-1.2698,,medium
RENAULT,SCENIC,4,1,,-1.1101,0.000757,55020,-1.1101,,medium
RENAULT,TWINGO,1,1,,-1.9008,0.003905,14652,-1.9008,,medium
RENAULT,TWINGO,2,1,,-1.6157,0.001041,29416,-1.6157,,medium
RENAULT,TWINGO,3,1,,-1.6662,0.001417,23685,-1.6662,,medium
RENAULT,TWINGO,4,1,,-1.1268,0.001362,30579,-1.1268,,medium
SEAT,Arona,1,1,,-0.5144,0.000821,88369,-0.5144,,medium
SEAT,Arona,2,1,,-0.5855,0.008001,4392,-0.5855,,medium
SEAT,Ateca,1,1,,1.2388,0.001143,92268,1.2388,,medium
SEAT,Ateca,2,1,,1.7245,0.002847,20587,1.7245,,medium
SEAT,IBIZA,1,1,,-1.409,0.000383,161424,-1.409,,medium
SEAT,IBIZA,2,1,,-1.2511,0.000151,211203,-1.2511,,medium
SEAT,IBIZA,3,1,,-0.6933,0.000196,179151,-0.6933,,medium
SEAT,IBIZA,4,1,,-0.6639,0.000342,122569,-0.6639,,medium
SEAT,LEON,1,1,,-0.1119,0.000373,210424,-0.1119,,medium
SEAT,LEON,2,1,,0.7047,0.000231,196502,0.7047,,medium
SEAT,LEON,3,1,,0.9317,0.000359,118320,0.9317,,medium
SEAT,LEON,4,1,,0.4605,0.000538,82300,0.4605,,medium
SEAT,MII,2,1,,-0.339,0.001198,30597,-0.339,,medium
SEAT,MII,3,1,,0.1283,0.001943,19562,0.1283,,medium
SEAT,TOLEDO,2,1,,-0.3856,0.00384,9467,-0.3856,,medium
SEAT,TOLEDO,3,1,,0.2528,0.010003,3858,0.2528,,medium
SKODA,CITIGO,1,1,,-0.7383,0.001151,60389,-0.7383,,medium
SKODA,CITIGO,2,1,,-0.2684,0.000412,90119,-0.2684,,medium
SKODA,CITIGO,3,1,,0.6908,0.000915,44780,0.6908,,medium
SKODA,FABIA,1,1,,-0.6232,0.000379,187204,-0.6232,,medium
SKODA,FABIA,2,2,0.8755,-0.1737,0.000181,209321,-0.1614,-1.037,medium
SKODA,FABIA,3,2,0.7943,0.1758,0.000215,178638,0.193,-0.6013,medium
SKODA,FABIA,4,2,0.2036,-0.3633,0.000229,185065,-0.359,-0.5626,high
SKODA,FABIA COMBI,1,1,,-0.6232,0.000379,187204,-0.6232,,medium
SKODA,FABIA COMBI,2,2,0.8755,-0.1737,0.000181,209321,-0.1614,-1.037,medium
SKODA,FABIA COMBI,3,2,0.7943,0.1758,0.000215,178638,0.193,-0.6013,medium
SKODA,FABIA COMBI,4,2,0.2036,-0.3633,0.000229,185065,-0.359,-0.5626,high
SKODA,KAMIQ,1,1,,0.8331,0.007851,12241,0.8331,,medium
SKODA,KAROQ,1,1,,1.3818,0.001183,92186,1.3818,,medium
SKODA,KAROQ,2,1,,1.9257,0.016225,3816,1.9257,,medium
SKODA,KODIAQ,1,2,0.6281,1.1822,0.001259,78459,1.287,0.6589,medium
SKODA,KODIAQ,2,1,,1.7466,0.00556,10604,1.7466,,medium
SKODA,OCTAVIA,1,2,1.0369,0.926,0.000431,220075,1.0542,0.0172,low
SKODA,OCTAVIA,2,2,0.7812,1.0889,0.000227,220714,1.1404,0.3592,medium
SKODA,OCTAVIA,3,2,0.455,0.8023,0.000261,159637,0.8616,0.4066,high
SKODA,OCTAVIA,4,2,0.6541,0.5563,0.00035,127700,0.6248,-0.0293,medium
SKODA,OCTAVIA COMBI,1,2,1.0369,0.926,0.000431,220075,1.0542,0.0172,low
SKODA,OCTAVIA COMBI,2,2,0.7812,1.0889,0.000227,220714,1.1404,0.3592,medium
SKODA,OCTAVIA COMBI,3,2,0.455,0.8023,0.000261,159637,0.8616,0.4066,high
SKODA,OCTAVIA COMBI,4,2,0.6541,0.5563,0.00035,127700,0.6248,-0.0293,medium
SKODA,RAPID,2,1,,-0.0985,0.000858,44650,-0.0985,,medium
SKODA,RAPID,3,1,,0.4678,0.00245,16202,0.4678,,medium
SKODA,RAPID SPACEBACK,2,1,,-0.0985,0.000858,44650,-0.0985,,medium
SKODA,RAPID SPACEBACK,3,1,,0.4678,0.00245,16202,0.4678,,medium
SKODA,SCALA,1,1,,0.2232,0.010407,8086,0.2232,,medium
SKODA,SUPERB,1,2,2.1239,0.2976,0.000905,92341,0.6281,-1.4958,low
SKODA,SUPERB,2,2,1.3356,0.6443,0.000602,75831,0.7492,-0.5864,low
SKODA,SUPERB,3,2,1.3544,0.4759,0.000879,46137,0.6626,-0.6918,low
SKODA,SUPERB,4,2,0.8093,0.7479,0.002442,18548,0.9161,0.1069,medium
SKODA,SUPERB COMBI,1,2,2.1239,0.2976,0.000905,92341,0.6281,-1.4958,low
SKODA,SUPERB COMBI,2,2,1.3356,0.6443,0.000602,75831,0.7492,-0.5864,low
SKODA,SUPERB COMBI,3,2,1.3544,0.4759,0.000879,46137,0.6626,-0.6918,low
SKODA,SUPERB COMBI,4,2,0.8093,0.7479,0.002442,18548,0.9161,0.1069,medium
SUZUKI,ALTO,3,1,,-0.703,0.000424,82714,-0.703,,medium
SUZUKI,ALTO,4,1,,-0.338,0.001087,38922,-0.338,,medium
SUZUKI,BALENO,1,1,,-1.7694,0.003733,15634,-1.7694,,medium
SUZUKI,BALENO,2,1,,-0.8868,0.004149,8081,-0.8868,,medium
SUZUKI,Celerio,1,1,,0.0898,0.001603,51059,0.0898,,medium
SUZUKI,Celerio,2,1,,0.3621,0.000848,49639,0.3621,,medium
SUZUKI,Celerio,3,1,,0.9376,0.015941,2670,0.9376,,medium
SUZUKI,IGNIS,1,1,,-0.4813,0.001537,47501,-0.4813,,medium
SUZUKI,IGNIS,2,1,,-0.2976,0.003279,11263,-0.2976,,medium
SUZUKI,IGNIS,4,1,,-0.4609,0.007426,5671,-0.4609,,medium
SUZUKI,SPLASH,3,1,,-1.1344,0.001092,31288,-1.1344,,medium
SUZUKI,SPLASH,4,1,,-1.1836,0.001844,22585,-1.1836,,medium
SUZUKI,SWIFT,1,2,0.3919,-0.085,0.000664,116486,-0.0616,-0.4535,high
SUZUKI,SWIFT,2,1,,-0.3445,0.000302,121329,-0.3445,,medium
SUZUKI,SWIFT,3,2,0.7189,-0.332,0.000352,103630,-0.3013,-1.0202,medium
SUZUKI,SWIFT,4,2,0.2111,-0.8705,0.000366,114328,-0.8776,-0.6665,high
SUZUKI,SX4,3,1,,0.3606,0.005818,6632,,0.3606,medium
SUZUKI,SX4,4,1,,-0.142,0.009092,4809,,-0.142,medium
SUZUKI,SX4 COMBIBACK,2,1,,0.0444,0.000822,47937,0.0444,,medium
SUZUKI,SX4 COMBIBACK,3,2,0.927,-0.4293,0.000861,41719,-0.5665,0.3606,medium
SUZUKI,SX4 COMBIBACK,4,2,0.7162,-0.7724,0.001089,38538,-0.8582,-0.142,medium
SUZUKI,SX4 S-Cross,3,1,,1.2291,0.00948,4208,,1.2291,medium
SUZUKI,VITARA,1,2,1.0345,0.3837,0.000666,128874,0.3473,1.3818,low
SUZUKI,VITARA,2,2,0.6775,0.5009,0.000654,66551,0.4691,1.1466,medium
SUZUKI,VITARA,3,1,,1.2874,0.021052,2144,1.2874,,low
TOYOTA,AURIS,1,1,,0.1758,0.008832,6033,,0.1758,medium
TOYOTA,AURIS,2,2,0.1094,0.5976,0.00022,203312,0.6053,0.4959,high
TOYOTA,AURIS,3,2,0.1842,0.6838,0.000257,157901,0.6555,0.8397,high
TOYOTA,AURIS,4,2,0.169,0.3027,0.000265,164685,0.3186,0.1495,high
TOYOTA,AVENSIS,2,2,0.6139,1.0621,0.001138,43471,1.0138,1.6277,medium
TOYOTA,AVENSIS,3,2,0.1501,1.1102,0.000645,66338,1.079,1.2291,high
TOYOTA,AVENSIS,4,2,0.073,0.8017,0.000405,109924,0.8168,0.7437,high
TOYOTA,AVENSIS STW,2,2,0.6139,1.0621,0.001138,43471,1.0138,1.6277,medium
TOYOTA,AVENSIS STW,3,2,0.1501,1.1102,0.000645,66338,1.079,1.2291,high
TOYOTA,AVENSIS STW,4,2,0.073,0.8017,0.000405,109924,0.8168,0.7437,high
TOYOTA,AYGO,1,1,,-0.064,0.000323,245099,-0.064,,medium
TOYOTA,AYGO,2,1,,0.034,0.000162,243144,0.034,,medium
TOYOTA,AYGO,3,1,,-0.295,0.000203,178808,-0.295,,medium
TOYOTA,AYGO,4,2,0.9412,-0.6424,0.000233,180434,-0.6302,-1.5713,medium
TOYOTA,AYGO 3/5-DØRS,4,1,,-1.5713,0.017962,3007,,-1.5713,low
TOYOTA,AYGO 5-DØRS,4,1,,-1.5713,0.017962,3007,,-1.5713,low
TOYOTA,Aygo X,4,1,,-1.5713,0.017962,3007,,-1.5713,low
TOYOTA,COROLLA,1,2,1.6101,1.2331,0.001322,75744,1.6093,-0.0008,low
TOYOTA,COROLLA,4,2,0.4156,0.6255,0.000677,66117,0.6526,0.237,high
TOYOTA,RAV4,1,2,0.2398,1.0674,0.000718,125203,1.1471,0.9072,high
TOYOTA,RAV4,2,2,1.0706,0.8867,0.000586,83538,1.0952,0.0246,low
TOYOTA,RAV4,3,2,0.3334,1.625,0.001192,38709,1.7358,1.4024,high
TOYOTA,RAV4,4,2,0.3087,0.9208,0.000934,47156,0.8422,1.1509,high
TOYOTA,RAV4 Plug in,1,2,0.2398,1.0674,0.000718,125203,1.1471,0.9072,high
TOYOTA,RAV4 Plug in,2,2,1.0706,0.8867,0.000586,83538,1.0952,0.0246,low
TOYOTA,RAV4 Plug in,3,1,,1.4024,0.003588,11242,,1.4024,medium
TOYOTA,RAV4 Plug in,4,1,,1.1509,0.003667,10666,,1.1509,medium
TOYOTA,Toyota C-HR,1,2,0.1753,0.1011,0.000456,171833,0.0799,0.2552,high
TOYOTA,Toyota C-HR,2,2,0.0391,0.9381,0.001521,31786,0.9429,0.9038,high
TOYOTA,VERSO,2,1,,0.2915,0.001138,36434,0.2915,,medium
TOYOTA,VERSO,3,2,0.1308,0.3571,0.00093,42056,0.3683,0.2375,high
TOYOTA,VERSO,4,1,,0.7688,0.002173,20896,0.7688,,medium
TOYOTA,YARIS,1,2,1.1241,-0.1364,0.00023,330751,-0.0303,-1.1544,low
TOYOTA,YARIS,2,2,1.0451,-0.0797,0.000109,355192,-0.0378,-1.0829,low
TOYOTA,YARIS,3,2,1.1026,0.0594,0.000122,313618,0.131,-0.9717,low
TOYOTA,YARIS,4,2,0.7871,-0.0522,0.000121,355055,-0.0266,-0.8137,medium
TOYOTA,YARIS 5-DØRS,1,1,,-1.1544,0.00244,16882,,-1.1544,medium
TOYOTA,YARIS 5-DØRS,2,1,,-1.0829,0.002732,15223,,-1.0829,medium
TOYOTA,YARIS 5-DØRS,3,1,,-0.9717,0.001872,21128,,-0.9717,medium
TOYOTA,YARIS 5-DØRS,4,1,,-0.8137,0.00372,12845,,-0.8137,medium
VOLKSWAGEN,CADDY,1,1,,-0.9411,0.000545,123004,-0.9411,,medium
VOLKSWAGEN,CADDY,2,1,,-0.3514,0.000256,143064,-0.3514,,medium
VOLKSWAGEN,CADDY,3,1,,0.2155,0.000291,132153,0.2155,,medium
VOLKSWAGEN,CADDY,4,1,,0.5666,0.000425,105036,0.5666,,medium
VOLKSWAGEN,CALIFORNIA,1,1,,0.0651,0.006477,12571,0.0651,,medium
VOLKSWAGEN,CALIFORNIA,2,1,,0.3684,0.004203,10025,0.3684,,medium
VOLKSWAGEN,CALIFORNIA,3,1,,0.9893,0.006866,6251,0.9893,,medium
VOLKSWAGEN,CALIFORNIA,4,1,,1.4664,0.021451,2276,1.4664,,low
VOLKSWAGEN,GOLF,1,2,1.2318,1.0887,0.000144,703083,1.1221,-0.1097,low
VOLKSWAGEN,GOLF,2,2,0.7787,1.1447,6.5e-05,784565,1.1707,0.392,medium
VOLKSWAGEN,GOLF,3,2,0.1716,0.9398,6.2e-05,685513,0.9509,0.7793,high
VOLKSWAGEN,GOLF,4,2,0.155,0.5854,6.1e-05,734724,0.5929,0.4379,high
VOLKSWAGEN,GOLF VARIANT,1,1,,1.1221,0.000148,693637,1.1221,,medium
VOLKSWAGEN,GOLF VARIANT,2,1,,1.1707,6.7e-05,760031,1.1707,,medium
VOLKSWAGEN,GOLF VARIANT,3,1,,0.9509,6.6e-05,644906,0.9509,,medium
VOLKSWAGEN,GOLF VARIANT,4,1,,0.5929,6.4e-05,702042,0.5929,,medium
VOLKSWAGEN,Golf Sportsvan,1,1,,1.1221,0.000148,693637,1.1221,,medium
VOLKSWAGEN,Golf Sportsvan,2,2,0.1197,1.1703,6.7e-05,762914,1.1707,1.051,high
VOLKSWAGEN,Golf Sportsvan,3,1,,0.9509,6.6e-05,644906,0.9509,,medium
VOLKSWAGEN,PASSAT,1,2,2.1616,0.569,0.000631,140323,0.9452,-1.2164,low
VOLKSWAGEN,PASSAT,2,2,0.985,0.745,0.000244,190451,0.8221,-0.1629,medium
VOLKSWAGEN,PASSAT,3,2,0.5355,0.7106,0.000216,190510,0.7606,0.2251,medium
VOLKSWAGEN,PASSAT,4,2,0.5208,0.8664,0.000234,195103,0.9119,0.3911,medium
VOLKSWAGEN,PASSAT VARIANT,1,2,2.1616,0.569,0.000631,140323,0.9452,-1.2164,low
VOLKSWAGEN,PASSAT VARIANT,2,2,0.985,0.745,0.000244,190451,0.8221,-0.1629,medium
VOLKSWAGEN,PASSAT VARIANT,3,2,0.5355,0.7106,0.000216,190510,0.7606,0.2251,medium
VOLKSWAGEN,PASSAT VARIANT,4,2,0.5208,0.8664,0.000234,195103,0.9119,0.3911,medium
VOLKSWAGEN,POLO,1,2,0.9267,-1.0114,0.000133,492911,-1.0258,-0.0991,medium
VOLKSWAGEN,POLO,2,2,0.0872,-0.7283,6.2e-05,554892,-0.7276,-0.8148,high
VOLKSWAGEN,POLO,3,2,0.6011,-0.717,7.4e-05,478293,-0.7054,-1.3064,medium
VOLKSWAGEN,POLO,4,2,0.1473,-0.8135,9e-05,464745,-0.8168,-0.6695,high
VOLKSWAGEN,T-Cross,1,1,,0.1047,0.003123,26282,0.1047,,medium
VOLKSWAGEN,T-Roc,1,2,0.3262,1.6116,0.000866,129166,1.6408,1.3146,high
VOLKSWAGEN,T-Roc,2,1,,1.8635,0.013522,4501,1.8635,,medium
VOLKSWAGEN,TIGUAN,1,2,0.8944,1.0688,0.000305,328208,1.1097,0.2153,medium
VOLKSWAGEN,TIGUAN,2,2,0.092,0.9148,0.000215,222792,0.9177,0.8257,high
VOLKSWAGEN,TIGUAN,3,2,0.3946,0.7229,0.000311,132289,0.7663,0.3717,high
VOLKSWAGEN,TIGUAN,4,2,0.3801,0.9994,0.000571,78739,0.9376,1.3176,high
VOLKSWAGEN,TOURAN,1,1,,0.0478,0.002055,39472,0.0478,,medium
VOLKSWAGEN,TOURAN,2,1,,0.3149,0.00082,50827,0.3149,,medium
VOLKSWAGEN,TOURAN,3,2,1.0038,0.538,0.000562,71864,0.6176,-0.3862,low
VOLKSWAGEN,TOURAN,4,2,0.1604,0.3977,0.000436,100162,0.3798,0.5403,high
VOLKSWAGEN,UP!,1,1,,-0.5495,0.000571,126225,-0.5495,,medium
VOLKSWAGEN,UP!,2,1,,-0.187,0.000195,193174,-0.187,,medium
VOLKSWAGEN,UP!,3,2,1.4065,0.5427,0.000304,132791,0.591,-0.8155,low
VOLKSWAGEN,UP!,4,1,,1.083,0.009712,4818,1.083,,medium
VOLVO,V40,1,2,0.5788,-0.9201,0.000509,130139,-0.9411,-0.3622,medium
VOLVO,V40,2,2,0.6508,-0.3927,0.00021,173876,-0.4115,0.2394,medium
VOLVO,V40,3,2,0.5077,0.4032,0.000511,76228,0.3144,0.8221,medium
VOLVO,V50,3,1,,-1.0535,0.01211,3281,,-1.0535,medium
VOLVO,V50,4,2,0.154,0.0389,0.000529,81608,0.0601,-0.0939,high
VOLVO,V60,1,2,0.9239,0.4582,0.001469,54651,0.236,1.1598,medium
VOLVO,V60,2,2,0.8817,0.6921,0.000947,48071,0.5936,1.4753,medium
VOLVO,V60,3,2,0.5723,1.193,0.000853,49829,1.0265,1.5988,medium
VOLVO,V60,4,2,0.5879,1.9191,0.004586,9716,1.6531,2.241,medium
VOLVO,V70,2,2,0.5609,0.9071,0.002501,19111,0.8432,1.4041,medium
VOLVO,V70,3,2,0.2708,1.5958,0.001252,35987,1.5021,1.7729,high
VOLVO,V70,4,2,0.4344,1.6205,0.000674,67567,1.4846,1.9189,high
VOLVO,V90,1,2,0.0982,0.608,0.001812,44412,0.5755,0.6736,high
VOLVO,V90,2,2,0.1024,1.0283,0.004575,10935,0.9864,1.0888,high
VOLVO,XC40,1,2,1.8469,1.5036,0.001142,96344,1.3951,3.2419,low
VOLVO,XC60,1,2,1.0759,0.9607,0.000599,157207,0.8273,1.9031,low
VOLVO,XC60,2,2,0.7172,0.5541,0.000314,140050,0.5129,1.2302,medium
VOLVO,XC60,3,2,0.8458,1.3319,0.00056,78415,1.1761,2.022,medium
VOLVO,XC60,4,2,0.9661,2.1484,0.001222,38878,1.8618,2.8279,medium
VOLVO,XC90,1,2,0.6931,0.5666,0.001119,76460,0.4667,1.1598,medium
VOLVO,XC90,2,2,0.1402,0.7029,0.000968,47406,0.7183,0.5782,high
VOLVO,XC90,3,1,,0.6106,0.000979,41360,0.6106,,medium
VOLVO,XC90,4,1,,0.8621,0.000866,52865,0.8621,,medium
