dmr_make,dmr_model,age_band,estimated_value_dkk,n_listings,pooled_at_brand,calibrated
AUDI,A3 CABRIOLET,1,195025,26,False,False
AUDI,A3 CABRIOLET,2,195025,26,False,False
AUDI,A3 CABRIOLET,3,158735,26,False,False
AUDI,A3 CABRIOLET,4,93819,26,False,False
KIA,CEED SW,1,195147,203,False,False
KIA,CEED SW,2,118371,203,False,False
KIA,CEED SW,3,72562,203,False,False
KIA,CEED SW,4,58903,203,False,False
CITROËN,C3,1,186602,394,False,False
CITROËN,C3,2,130257,394,False,False
CITROËN,C3,3,79493,394,False,False
CITROËN,C3,4,49671,394,False,False
PEUGEOT,308,1,205795,1144,False,False
PEUGEOT,308,2,107553,1144,False,False
PEUGEOT,308,3,74972,1144,False,False
PEUGEOT,308,4,45717,1144,False,False
VOLKSWAGEN,PASSAT,1,312915,2137,False,False
VOLKSWAGEN,PASSAT,2,223640,2137,False,False
VOLKSWAGEN,PASSAT,3,152176,2137,False,False
VOLKSWAGEN,PASSAT,4,84799,2137,False,False
TOYOTA,AURIS,1,167205,612,False,False
TOYOTA,AURIS,2,159813,612,False,False
TOYOTA,AURIS,3,114200,612,False,False
TOYOTA,AURIS,4,75627,612,False,False
DACIA,Duster,1,228250,172,False,False
DACIA,Duster,2,179853,172,False,False
DACIA,Duster,3,113736,172,False,False
DACIA,Duster,4,79625,172,False,False
HYUNDAI,I30CW,1,240155,3481,True,False
HYUNDAI,I30CW,2,174574,3481,True,False
HYUNDAI,I30CW,3,114915,3481,True,False
HYUNDAI,I30CW,4,77378,3481,True,False
BMW,5-Serie,1,707866,1369,False,False
BMW,5-Serie,2,440914,1369,False,False
BMW,5-Serie,3,268963,1369,False,False
BMW,5-Serie,4,138783,1369,False,False
SKODA,SUPERB,1,396603,228,False,False
SKODA,SUPERB,2,298776,228,False,False
SKODA,SUPERB,3,175894,228,False,False
SKODA,SUPERB,4,87612,228,False,False
SKODA,KAMIQ,1,296548,49,False,False
SKODA,KAMIQ,2,301682,49,False,False
SKODA,KAMIQ,3,301682,49,False,False
SKODA,KAMIQ,4,301682,49,False,False
VOLVO,XC60,1,647077,867,False,False
VOLVO,XC60,2,429735,867,False,False
VOLVO,XC60,3,262799,867,False,False
VOLVO,XC60,4,156761,867,False,False
VOLVO,V40,1,161882,547,False,False
VOLVO,V40,2,156554,547,False,False
VOLVO,V40,3,126340,547,False,False
VOLVO,V40,4,74690,547,False,False
AUDI,A5 SPORTBACK,1,766403,486,True,False
AUDI,A5 SPORTBACK,2,360358,486,True,False
AUDI,A5 SPORTBACK,3,224852,486,True,False
AUDI,A5 SPORTBACK,4,176134,486,True,False
MINI,COOPER,1,327957,373,False,False
MINI,COOPER,2,204897,373,False,False
MINI,COOPER,3,152108,373,False,False
MINI,COOPER,4,97118,373,False,False
CITROËN,DS3,1,204622,1252,True,False
CITROËN,DS3,2,131786,1252,True,False
CITROËN,DS3,3,84537,1252,True,False
CITROËN,DS3,4,56164,1252,True,False
MERCEDES-BENZ,GLE,1,1311559,243,False,False
MERCEDES-BENZ,GLE,2,840613,243,False,False
MERCEDES-BENZ,GLE,3,700567,243,False,False
MERCEDES-BENZ,GLE,4,700567,243,False,False
PEUGEOT,208,1,180108,524,False,False
PEUGEOT,208,2,88738,524,False,False
PEUGEOT,208,3,65428,524,False,False
PEUGEOT,208,4,57044,524,False,False
KIA,PICANTO,1,146167,121,False,False
KIA,PICANTO,2,94881,121,False,False
KIA,PICANTO,3,62017,121,False,False
KIA,PICANTO,4,40883,121,False,False
HYUNDAI,I30,1,211886,1086,False,False
HYUNDAI,I30,2,144195,1086,False,False
HYUNDAI,I30,3,87126,1086,False,False
HYUNDAI,I30,4,56682,1086,False,False
FORD,C-MAX,1,113783,367,False,False
FORD,C-MAX,2,112645,367,False,False
FORD,C-MAX,3,94632,367,False,False
FORD,C-MAX,4,73473,367,False,False
FIAT,PANDA,1,150152,26,False,False
FIAT,PANDA,2,93895,26,False,False
FIAT,PANDA,3,64834,26,False,False
FIAT,PANDA,4,43069,26,False,False
CITROËN,C3 PICASSO,1,173287,101,False,False
CITROËN,C3 PICASSO,2,109977,101,False,False
CITROËN,C3 PICASSO,3,77429,101,False,False
CITROËN,C3 PICASSO,4,60340,101,False,False
AUDI,A4 AVANT,1,438201,72,False,False
AUDI,A4 AVANT,2,304317,72,False,False
AUDI,A4 AVANT,3,187915,72,False,False
AUDI,A4 AVANT,4,112956,72,False,False
MERCEDES-BENZ,E,1,724487,1177,False,False
MERCEDES-BENZ,E,2,489641,1177,False,False
MERCEDES-BENZ,E,3,265469,1177,False,False
MERCEDES-BENZ,E,4,113793,1177,False,False
SEAT,Ateca,1,356304,158,False,False
SEAT,Ateca,2,261398,158,False,False
SEAT,Ateca,3,232372,158,False,False
SEAT,Ateca,4,232372,158,False,False
VOLVO,V70,1,122585,390,False,False
VOLVO,V70,2,124092,390,False,False
VOLVO,V70,3,110458,390,False,False
VOLVO,V70,4,79548,390,False,False
FORD,KUGA,1,284836,613,False,False
FORD,KUGA,2,192296,613,False,False
FORD,KUGA,3,128960,613,False,False
FORD,KUGA,4,72592,613,False,False
FIAT,500,1,234885,136,False,False
FIAT,500,2,144862,136,False,False
FIAT,500,3,100051,136,False,False
FIAT,500,4,72372,136,False,False
CITROËN,C 1,1,205798,1252,True,False
CITROËN,C 1,2,132962,1252,True,False
CITROËN,C 1,3,85713,1252,True,False
CITROËN,C 1,4,57340,1252,True,False
NISSAN,NOTE,1,72180,179,False,False
NISSAN,NOTE,2,72180,179,False,False
NISSAN,NOTE,3,67128,179,False,False
NISSAN,NOTE,4,54108,179,False,False
RENAULT,Kadjar,1,243486,236,False,False
RENAULT,Kadjar,2,178734,236,False,False
RENAULT,Kadjar,3,169521,236,False,False
RENAULT,Kadjar,4,169521,236,False,False
HYUNDAI,KONA,1,277344,132,False,False
HYUNDAI,KONA,2,221892,132,False,False
HYUNDAI,KONA,3,191221,132,False,False
HYUNDAI,KONA,4,191221,132,False,False
OPEL,Grandland X,1,334553,255,False,False
OPEL,Grandland X,2,243238,255,False,False
OPEL,Grandland X,3,213701,255,False,False
OPEL,Grandland X,4,213701,255,False,False
AUDI,Q2,1,756424,486,True,False
AUDI,Q2,2,350379,486,True,False
AUDI,Q2,3,214873,486,True,False
AUDI,Q2,4,166155,486,True,False
MERCEDES-BENZ,GLC,1,790992,375,False,False
MERCEDES-BENZ,GLC,2,587977,375,False,False
MERCEDES-BENZ,GLC,3,538039,375,False,False
MERCEDES-BENZ,GLC,4,538039,375,False,False
FORD,GALAXY,1,241197,107,False,False
FORD,GALAXY,2,227370,107,False,False
FORD,GALAXY,3,160818,107,False,False
FORD,GALAXY,4,95859,107,False,False
FORD,KA,1,81992,81,False,False
FORD,KA,2,81992,81,False,False
FORD,KA,3,66666,81,False,False
FORD,KA,4,44281,81,False,False
RENAULT,CLIO,1,144559,983,False,False
RENAULT,CLIO,2,102168,983,False,False
RENAULT,CLIO,3,71972,983,False,False
RENAULT,CLIO,4,47693,983,False,False
MERCEDES-BENZ,A-Klasse,1,523358,468,False,False
MERCEDES-BENZ,A-Klasse,2,372081,468,False,False
MERCEDES-BENZ,A-Klasse,3,245268,468,False,False
MERCEDES-BENZ,A-Klasse,4,117659,468,False,False
MITSUBISHI,SPACE STAR,1,156422,86,False,False
MITSUBISHI,SPACE STAR,2,110461,86,False,False
MITSUBISHI,SPACE STAR,3,66217,86,False,False
MITSUBISHI,SPACE STAR,4,38710,86,False,False
TOYOTA,AYGO 3/5-DØRS,1,119956,95,False,False
TOYOTA,AYGO 3/5-DØRS,2,95079,95,False,False
TOYOTA,AYGO 3/5-DØRS,3,69161,95,False,False
TOYOTA,AYGO 3/5-DØRS,4,54542,95,False,False
PEUGEOT,207,1,42438,451,False,False
PEUGEOT,207,2,42438,451,False,False
PEUGEOT,207,3,42438,451,False,False
PEUGEOT,207,4,41322,451,False,False
OPEL,Crossland X,1,231009,211,False,False
OPEL,Crossland X,2,170056,211,False,False
OPEL,Crossland X,3,143907,211,False,False
OPEL,Crossland X,4,143907,211,False,False
MAZDA,CX-3,1,237200,28,False,False
MAZDA,CX-3,2,235377,28,False,False
MAZDA,CX-3,3,233992,28,False,False
MAZDA,CX-3,4,233992,28,False,False
TOYOTA,AYGO 5-DØRS,1,120397,95,False,False
TOYOTA,AYGO 5-DØRS,2,95520,95,False,False
TOYOTA,AYGO 5-DØRS,3,69602,95,False,False
TOYOTA,AYGO 5-DØRS,4,54983,95,False,False
TOYOTA,RAV4 Plug in,1,483664,292,False,False
TOYOTA,RAV4 Plug in,2,327363,292,False,False
TOYOTA,RAV4 Plug in,3,199883,292,False,False
TOYOTA,RAV4 Plug in,4,97132,292,False,False
MAZDA,2,1,157399,35,False,False
MAZDA,2,2,166430,35,False,False
MAZDA,2,3,126015,35,False,False
MAZDA,2,4,79603,35,False,False
SKODA,RAPID,1,295165,987,True,False
SKODA,RAPID,2,237768,987,True,False
SKODA,RAPID,3,139095,987,True,False
SKODA,RAPID,4,75222,987,True,False
