dmr_make,dmr_model,age_band,n_periodisk_tests,n_pass,n_fail,n_strata_surviving,raw_pass_rate,standardized_pass_rate,reliability_unstable,meets_stability_floor_2500,meets_floor_500,meets_floor_1000,meets_floor_1500,meets_floor_2000,meets_floor_2500
VOLKSWAGEN,POLO,1,5836,4893,943,4,0.8384,0.7988,False,True,True,True,True,True,True
RENAULT,MEGANE SPORT TOURER,4,1622,318,1304,4,0.1961,0.1824,False,False,True,True,True,False,False
RENAULT,MEGANE,4,1622,318,1304,4,0.1961,0.1824,False,False,True,True,True,False,False
MITSUBISHI,ASX,2,1912,1457,455,5,0.762,0.7512,False,False,True,True,True,False,False
FORD,FIESTA 5 DØRS,2,4402,2399,2003,4,0.545,0.487,False,True,True,True,True,True,True
PEUGEOT,208,4,267,120,147,3,0.4494,0.3629,False,False,False,False,False,False,False
CITROËN,C3 Aircross,1,782,514,268,3,0.6573,0.6281,False,False,True,False,False,False,False
CITROËN,C 1,1,58,42,16,1,0.7241,,True,False,False,False,False,False,False
OPEL,ZAFIRA,2,235,144,91,3,0.6128,0.6236,False,False,False,False,False,False,False
RENAULT,MEGANE SPORT TOURER,1,294,196,98,3,0.6667,0.6563,False,False,False,False,False,False,False
KIA,CEE'D SW,2,1150,664,486,5,0.5774,0.5663,False,False,True,True,False,False,False
SUZUKI,SX4,2,2476,1840,636,5,0.7431,0.7009,False,False,True,True,True,True,False
HYUNDAI,i10 AC3,3,1046,474,572,4,0.4532,0.3127,False,False,True,True,False,False,False
FORD,MONDEO STATIONCAR,1,1541,1212,329,5,0.7865,0.8291,False,False,True,True,True,False,False
AUDI,A1 SPORTBACK,2,1299,823,476,4,0.6336,0.6175,False,False,True,True,False,False,False
SKODA,RAPID,1,482,341,141,3,0.7075,0.7083,False,False,False,False,False,False,False
TOYOTA,AYGO,2,608,355,253,4,0.5839,0.4647,False,False,True,False,False,False,False
PEUGEOT,207,3,610,226,384,5,0.3705,0.3165,False,False,True,False,False,False,False
OPEL,ASTRA SPORTS TOURER,1,128,107,21,2,0.8359,,True,False,False,False,False,False,False
HYUNDAI,I30,3,164,66,98,3,0.4024,0.3876,False,False,False,False,False,False,False
BMW,3-Serie,1,4744,3597,1147,5,0.7582,0.7605,False,True,True,True,True,True,True
SUZUKI,SX4 S-Cross,1,80,61,19,1,0.7625,,True,False,False,False,False,False,False
OPEL,MERIVA,3,854,385,469,5,0.4508,0.396,False,False,True,False,False,False,False
VOLKSWAGEN,Golf Sportsvan,1,502,442,60,3,0.8805,0.8611,False,False,True,False,False,False,False
VOLKSWAGEN,Golf Sportsvan,2,2883,2218,665,4,0.7693,0.7367,False,True,True,True,True,True,True
AUDI,A3 CABRIOLET,4,166,61,105,3,0.3675,0.3546,False,False,False,False,False,False,False
HONDA,JAZZ,2,727,523,204,3,0.7194,0.6427,False,False,True,False,False,False,False
VOLVO,V50,3,3281,1207,2074,4,0.3679,0.4117,False,True,True,True,True,True,True
PEUGEOT,208,2,2180,1282,898,4,0.5881,0.5027,False,False,True,True,True,True,False
CITROËN,C1,2,428,238,190,3,0.5561,0.4369,False,False,False,False,False,False,False
