dmr_make,dmr_model,age_band,dk_vehicle_count,n_nt_tests,meets_stability_floor,raw_pass_rate,standardized_pass_rate,reliability_unstable,repair_burden_index,median_annual_fuel_cost_dkk,median_annual_ejerafgift_dkk,median_power_to_weight_wkg,median_weight_kg,median_cylinder_count,engagement_score,engagement_pct_power_to_weight,engagement_pct_cylinder_count,engagement_pct_weight_inverted
NISSAN,JUKE,3,883,187043,True,0.5681,0.5687,False,1.3701,13986.033519553073,2580.0,64.1025641025641,1326.0,4.0,0.5878,0.5544,0.6246,0.6159
NISSAN,JUKE,4,547,48657,True,0.5329,0.5351,False,1.6338,14991.017964071858,2780.0,68.47133757961784,1281.0,4.0,0.6719,0.7046,0.6246,0.6609
NISSAN,MICRA,1,562,50537,True,0.7806,0.7497,False,0.4701,11176.339285714288,1520.0,60.01765225066196,1156.0,3.0,0.4104,0.4113,0.1454,0.8054
NISSAN,MICRA,2,1975,71314,True,0.7194,0.6643,False,0.6451,11028.634361233482,1520.0,56.84754521963824,1147.0,3.0,0.3617,0.3097,0.1454,0.8162
NISSAN,MICRA,3,2662,72807,True,0.6564,0.5888,False,0.9298,12517.500000000002,920.0,56.13701236917221,1051.0,3.0,0.3586,0.2811,0.1454,0.872
NISSAN,MICRA,4,2665,110268,True,0.5941,0.5347,False,1.2441,12517.500000000002,920.0,56.89488910318226,1049.0,3.0,0.3754,0.3119,0.1454,0.8791
NISSAN,NOTE,2,336,64289,True,0.8016,0.7648,False,0.4346,11753.521126760563,920.0,51.52838427947598,1145.0,3.0,0.2765,0.1381,0.1454,0.819
NISSAN,NOTE,3,3290,86983,True,0.6676,0.6264,False,0.8922,11753.521126760563,920.0,52.120141342756185,1141.0,3.0,0.2838,0.1509,0.1454,0.8233
NISSAN,NOTE,4,2058,106221,True,0.5496,0.5332,False,1.4952,14813.609467455624,2580.0,54.0765391014975,1211.0,4.0,0.4312,0.201,0.6246,0.7167
NISSAN,QASHQAI,1,5162,262616,True,0.8365,0.8375,False,0.3627,13176.315789473685,2440.0,76.3157894736842,1452.0,4.0,0.7164,0.8777,0.6246,0.4506
NISSAN,QASHQAI,2,11412,327499,True,0.7368,0.7434,False,0.7637,13176.315789473685,3260.0,58.74222529371113,1474.0,4.0,0.453,0.3684,0.6246,0.407
NISSAN,QASHQAI,3,5006,257075,True,0.5693,0.5938,False,1.6314,13986.033519553073,2580.0,59.109874826147426,1470.0,4.0,0.4586,0.377,0.6246,0.4134
NISSAN,QASHQAI,4,2142,187138,True,0.4595,0.4917,False,2.3447,14813.609467455624,3960.0,61.25356125356125,1404.0,4.0,0.5161,0.4499,0.6246,0.5186
NISSAN,Qashqai J11A,2,1,327499,True,0.7368,0.7434,False,0.7637,13986.033519553073,2580.0,58.419243986254294,1455.0,4.0,0.4557,0.3584,0.6246,0.4456
NISSAN,Qashqai J11A,3,1839,257075,True,0.5693,0.5938,False,1.6314,12089.861751152073,2780.0,59.90133897110642,1419.0,4.0,0.4912,0.407,0.6246,0.5014
NISSAN,X-TRAIL,1,217,41692,True,0.8302,0.8382,False,0.3676,14813.609467455624,3260.0,70.86614173228347,1651.0,4.0,0.6114,0.7704,0.6246,0.1938
NISSAN,X-TRAIL,2,727,73863,True,0.7195,0.742,False,0.7599,14813.609467455624,4960.0,70.65217391304347,1675.0,4.0,0.6048,0.7647,0.6246,0.1753
NISSAN,X-TRAIL,3,559,15404,True,0.6167,0.6488,False,1.2521,13880.952380952382,4960.0,56.42081004399845,1701.5,4.0,0.3634,0.2911,0.6246,0.1524
NISSAN,X-TRAIL,4,10,16022,True,0.526,0.573,False,1.956,16817.30769230769,8080.0,64.70588235294119,1743.0,4.0,0.5065,0.5858,0.6246,0.1309
OPEL,ASTRA,1,486,127215,True,0.8202,0.8299,False,0.3681,9779.296875,1520.0,62.451811873554355,1381.0,3.0,0.3956,0.4828,0.1454,0.5529
OPEL,ASTRA,2,6785,289595,True,0.735,0.7453,False,0.615,11277.027027027028,1600.0,69.39625260235947,1350.0,4.0,0.6746,0.7403,0.6246,0.5851
OPEL,ASTRA,3,5188,306041,True,0.6569,0.67,False,0.9274,11817.567567567568,1760.0,66.5335994677312,1378.0,4.0,0.6259,0.6545,0.6246,0.5565
OPEL,ASTRA,4,2314,307070,True,0.5814,0.5891,False,1.3954,14555.232558139538,2780.0,61.107574793125394,1503.0,4.0,0.486,0.4456,0.6246,0.3791
OPEL,ASTRA SPORTS TOURER,1,3,127215,True,0.8202,0.8299,False,0.3681,9540.0,3380.0,63.424947145877375,1419.0,3.0,0.4054,0.5229,0.1454,0.5014
OPEL,ASTRA SPORTS TOURER,2,84,289595,True,0.735,0.7453,False,0.615,9975.28517110266,2780.0,58.14788226848528,1425.0,4.0,0.4593,0.3469,0.6246,0.4921
OPEL,ASTRA SPORTS TOURER,3,103,306041,True,0.6569,0.67,False,0.9274,10248.046874999998,2780.0,57.67790262172284,1466.0,4.0,0.4364,0.3312,0.6246,0.417
OPEL,ASTRA SPORTS TOURER,4,1133,307070,True,0.5814,0.5891,False,1.3954,15265.243902439028,3960.0,55.89307411907655,1585.0,4.0,0.3845,0.2754,0.6246,0.2969
OPEL,CORSA,1,5803,295544,True,0.7965,0.7836,False,0.4482,10563.291139240508,1520.0,50.2283105022831,1122.0,3.0,0.2662,0.1109,0.1454,0.8355
